Year,Brand Name,Generic Name,Manufacturer,Indication,Coverage Type,Total Spending,Beneficiary Count,Unit Count,Beneficiary Cost Share,Total Annual Spending Per User,Average Cost Per Unit,Average Annual Beneficiary Cost Share,Claim Count,Beneficiary Count LIS,Beneficiary Count No LIS,Beneficiary Cost Share LIS,Beneficiary Cost Share No LIS,Average Beneficiary Cost Share LIS,Average Beneficiary Cost Share No LIS
2012,Namenda,Memantine HCl,Actavis U.S. BR,,Part D,"$1,327,416,589.75","757,604","345,816,185","$165,716,946.80","$1,752.12",$3.84,*,"5,425,470","373,548","384,056","$8,291,297.34","$157,425,649.46",$22.20,$409.90
2013,Namenda,Memantine HCl,Actavis U.S. BR,,Part D,"$1,564,775,425.81","798,714","347,981,806","$184,388,007.34","$1,959.12",$4.50,*,"6,878,399","367,404","431,310","$8,569,585.23","$175,818,422.11",$23.32,$407.64
2014,Namenda,Memantine HCl,Actavis U.S. BR,,Part D,"$1,375,513,421.03","722,050","271,104,556","$155,620,336.55","$1,905.01",$5.07,*,"5,240,372","331,200","390,850","$6,795,366.57","$148,824,969.98",$20.52,$380.77
2010,Neulasta,Pegfilgrastim,Amgen,Immunology,Part B,"$833,990,773.04","96,365","345,267","$166,755,738.27","$8,654.50","$2,415.50","$1,730.46","334,518",n/a,n/a,n/a,n/a,n/a,n/a
2011,Neulasta,Pegfilgrastim,Amgen,,Part B,"$972,009,437.32","101,957","371,677","$194,308,285.06","$9,533.52","$2,615.20","$1,905.79","359,129",n/a,n/a,n/a,n/a,n/a,n/a
2012,Neulasta,Pegfilgrastim,Amgen,,Part B,"$1,060,046,676.17","103,396","380,209","$211,828,013.31","$10,252.30","$2,788.06","$2,048.71","365,011",n/a,n/a,n/a,n/a,n/a,n/a
2013,Neulasta,Pegfilgrastim,Amgen,,Part B,"$1,098,433,150.41","100,804","371,056","$222,082,855.00","$10,896.72","$2,960.29","$2,203.12","355,862",n/a,n/a,n/a,n/a,n/a,n/a
2014,Neulasta,Pegfilgrastim,Amgen,,Part B,"$1,173,794,492.59","98,519","358,909","$238,138,627.74","$11,914.40","$3,270.45","$2,417.18","343,347",n/a,n/a,n/a,n/a,n/a,n/a
2010,Nexium,Esomeprazole Magnesium,Astrazeneca,Acid Reflux,Part D,"$1,858,740,955.98","1,556,034","332,477,792","$197,065,250.60","$1,194.54",$5.59,*,"8,488,726","949,768","606,266","$24,982,823.48","$172,082,427.12",$26.30,$283.84
2011,Nexium,Esomeprazole Magnesium,Astrazeneca,,Part D,"$1,970,128,431.09","1,516,292","334,304,155","$170,651,290.51","$1,299.31",$5.89,*,"8,223,984","959,465","556,827","$23,730,069.38","$146,921,221.13",$24.73,$263.85
2012,Nexium,Esomeprazole Magnesium,Astrazeneca,,Part D,"$2,124,302,856.29","1,434,214","337,755,641","$178,883,786.31","$1,481.16",$6.29,*,"7,912,220","866,303","567,911","$20,627,810.78","$158,255,975.53",$23.81,$278.66
2013,Nexium,Esomeprazole Magnesium,Astrazeneca,,Part D,"$2,526,306,068.56","1,484,011","360,049,470","$200,041,970.74","$1,702.35",$7.02,*,"8,192,362","833,933","650,078","$19,885,808.24","$180,156,162.50",$23.85,$277.13
2014,Nexium,Esomeprazole Magnesium,Astrazeneca,,Part D,"$2,660,421,777.37","1,405,799","340,404,485","$169,788,270.55","$1,892.46",$7.82,*,"7,538,790","795,701","610,098","$17,249,020.38","$152,539,250.17",$21.68,$250.02
2010,Olysio,Simeprevir Sodium,Janssen Product,Hepatitis C,Part D,$0.00,0,0,$0.00,$0.00,$0.00,*,0,0,0,$0.00,$0.00,$0.00,$0.00
2011,Olysio,Simeprevir Sodium,Janssen Product,,Part D,$0.00,0,0,$0.00,$0.00,$0.00,*,0,0,0,$0.00,$0.00,$0.00,$0.00
2012,Olysio,Simeprevir Sodium,Janssen Product,,Part D,$0.00,0,0,$0.00,$0.00,$0.00,*,0,0,0,$0.00,$0.00,$0.00,$0.00
2013,Olysio,Simeprevir Sodium,Janssen Product,,Part D,"$1,571,232.83",65,"1,988","$33,864.07","$24,172.81",$790.36,*,65,37,28,$33.80,"$33,830.27",$0.91,"$1,208.22"
2014,Olysio,Simeprevir Sodium,Janssen Product,,Part D,"$833,253,318.73","12,646","1,035,249","$14,984,704.90","$65,890.66",$804.88,*,"36,946","7,877","4,769","$311,872.21","$14,672,832.69",$39.59,"$3,076.71"
2010,Orencia,Abatacept; Abatacept/Maltose,BMS Primarycare,Immunology,Part B,"$218,043,950.33","18,284","11,027,764","$44,038,290.48","$11,925.40",$19.77,"$2,408.57","146,292",n/a,n/a,n/a,n/a,n/a,n/a
2011,Orencia,Abatacept; Abatacept/Maltose,BMS Primarycare,,Part B,"$251,984,210.31","19,775","12,170,520","$50,874,807.03","$12,742.56",$20.70,"$2,572.68","161,144",n/a,n/a,n/a,n/a,n/a,n/a
2012,Orencia,Abatacept; Abatacept/Maltose,BMS Primarycare,,Part B,"$272,917,705.52","20,619","12,599,596","$54,946,394.44","$13,236.22",$21.66,"$2,664.84","166,786",n/a,n/a,n/a,n/a,n/a,n/a
2013,Orencia,Abatacept; Abatacept/Maltose,BMS Primarycare,,Part B,"$290,457,890.90","20,802","12,969,404","$59,242,369.13","$13,962.98",$22.40,"$2,847.92","171,332",n/a,n/a,n/a,n/a,n/a,n/a
2014,Orencia,Abatacept; Abatacept/Maltose,BMS Primarycare,,Part B,"$342,183,172.43","20,147","12,536,347","$69,911,177.14","$16,984.32",$27.30,"$3,470.05","166,300",n/a,n/a,n/a,n/a,n/a,n/a
2010,Perforomist,Formoterol Fumarate,Mylan Specialty,Chronic Obstructive Pulmonary Disease,Part B,"$40,143,407.22","28,423","8,649,840","$8,466,333.24","$1,412.36",$4.64,$297.87,"145,479",n/a,n/a,n/a,n/a,n/a,n/a
2011,Perforomist,Formoterol Fumarate,Mylan Specialty,,Part B,"$47,622,607.16","31,558","10,072,377","$10,097,210.56","$1,509.05",$4.73,$319.96,"169,474",n/a,n/a,n/a,n/a,n/a,n/a
2012,Perforomist,Formoterol Fumarate,Mylan Specialty,,Part B,"$54,257,433.85","31,687","10,758,166","$11,405,218.46","$1,712.29",$5.04,$359.93,"180,799",n/a,n/a,n/a,n/a,n/a,n/a
2013,Perforomist,Formoterol Fumarate,Mylan Specialty,,Part B,"$62,533,673.24","30,315","10,760,804","$13,156,571.40","$2,062.80",$5.81,$434.00,"180,067",n/a,n/a,n/a,n/a,n/a,n/a
2014,Perforomist,Formoterol Fumarate,Mylan Specialty,,Part B,"$68,528,578.16","28,204","10,192,138","$14,584,815.82","$2,429.75",$6.72,$517.12,"170,546",n/a,n/a,n/a,n/a,n/a,n/a
2010,Prednisolone Acetate,Prednisolone Acetate,Multiple Manufacturers,Inflammation,Part D,"$13,098,126.12","604,469","8,585,930","$4,686,389.87",$21.67,$1.53,*,"1,033,271","220,387","384,082","$475,941.09","$4,210,448.78",$2.16,$10.96
2011,Prednisolone Acetate,Prednisolone Acetate,Multiple Manufacturers,,Part D,"$26,891,955.28","1,046,933","14,478,064","$8,753,433.64",$25.69,$1.86,*,"1,756,470","336,164","710,769","$807,369.97","$7,946,063.67",$2.40,$11.18
2012,Prednisolone Acetate,Prednisolone Acetate,Multiple Manufacturers,,Part D,"$31,248,711.35","1,200,356","16,564,381","$10,815,932.18",$26.03,$1.89,*,"2,035,023","360,156","840,200","$837,842.63","$9,978,089.55",$2.33,$11.88
2013,Prednisolone Acetate,Prednisolone Acetate,Multiple Manufacturers,,Part D,"$58,184,831.09","1,399,861","19,150,854","$14,791,687.34",$41.56,$3.04,*,"2,388,999","378,016","1,021,845","$1,035,743.82","$13,755,943.52",$2.74,$13.46
2014,Prednisolone Acetate,Prednisolone Acetate,Multiple Manufacturers,,Part D,"$159,572,405.97","1,468,915","19,744,965","$24,017,325.19",$108.63,$8.08,*,"2,538,652","387,328","1,081,587","$1,268,385.98","$22,748,939.21",$3.27,$21.03
2010,Prezista,Darunavir Ethanolate,Janssen Product,HIV,Part D,"$139,977,663.04","18,974","8,790,504","$3,295,314.44","$7,377.34",$15.92,*,"143,295","16,415","2,559","$366,333.92","$2,928,980.52",$22.32,"$1,144.58"
2011,Prezista,Darunavir Ethanolate,Janssen Product,,Part D,"$197,717,167.10","24,615","11,909,413","$2,948,313.89","$8,032.39",$16.60,*,"193,240","21,106","3,509","$435,437.74","$2,512,876.15",$20.63,$716.12
2012,Prezista,Darunavir Ethanolate,Janssen Product,,Part D,"$261,411,910.88","29,427","14,825,955","$2,838,529.28","$8,883.40",$17.63,*,"239,880","24,998","4,429","$414,255.58","$2,424,273.70",$16.57,$547.36
2013,Prezista,Darunavir Ethanolate,Janssen Product,,Part D,"$326,796,836.20","34,535","13,124,915","$3,699,260.75","$9,462.77",$24.90,*,"289,830","28,855","5,680","$495,243.59","$3,204,017.16",$17.16,$564.09
2014,Prezista,Darunavir Ethanolate,Janssen Product,,Part D,"$393,062,758.53","38,057","13,624,339","$4,275,799.98","$10,328.26",$28.85,*,"324,561","31,595","6,462","$544,580.31","$3,731,219.67",$17.24,$577.41
2010,Privigen,"Immune Globulin,gamma(IGG)",CSL Behring Llc,Immunology,Part B,"$74,973,285.76","4,806","2,138,130","$14,412,633.98","$15,599.93",$35.06,"$2,998.88","24,482",n/a,n/a,n/a,n/a,n/a,n/a
2011,Privigen,"Immune Globulin,gamma(IGG)",CSL Behring Llc,,Part B,"$115,637,184.42","6,572","3,334,497","$22,701,885.41","$17,595.43",$34.68,"$3,454.33","38,340",n/a,n/a,n/a,n/a,n/a,n/a
2012,Privigen,"Immune Globulin,gamma(IGG)",CSL Behring Llc,,Part B,"$147,000,417.82","8,346","4,273,836","$28,622,219.86","$17,613.28",$34.40,"$3,429.45","47,363",n/a,n/a,n/a,n/a,n/a,n/a
2013,Privigen,"Immune Globulin,gamma(IGG)",CSL Behring Llc,,Part B,"$165,381,405.20","8,435","4,626,807","$32,737,373.40","$19,606.57",$35.74,"$3,881.13","50,005",n/a,n/a,n/a,n/a,n/a,n/a
2014,Privigen,"Immune Globulin,gamma(IGG)",CSL Behring Llc,,Part B,"$189,572,071.51","9,327","5,221,835","$37,803,173.87","$20,325.09",$36.30,"$4,053.09","57,587",n/a,n/a,n/a,n/a,n/a,n/a
2010,Prolia; Xgeva,Denosumab,Amgen,Osteoporosis,Part B,$0.00,0,0,$0.00,$0.00,$0.00,$0.00,0,n/a,n/a,n/a,n/a,n/a,n/a
2011,Prolia; Xgeva,Denosumab,Amgen,,Part B,$0.00,0,0,$0.00,$0.00,$0.00,$0.00,0,n/a,n/a,n/a,n/a,n/a,n/a
2012,Prolia; Xgeva,Denosumab,Amgen,,Part B,"$484,421,486.25","158,858","33,736,246","$96,891,963.43","$3,049.40",$14.36,$609.93,"374,150",n/a,n/a,n/a,n/a,n/a,n/a
2013,Prolia; Xgeva,Denosumab,Amgen,,Part B,"$631,091,673.31","229,162","45,099,134","$129,058,150.26","$2,753.91",$13.99,$563.17,"518,243",n/a,n/a,n/a,n/a,n/a,n/a
2014,Prolia; Xgeva,Denosumab,Amgen,,Part B,"$767,348,546.46","294,936","54,337,459","$157,587,692.19","$2,601.75",$14.12,$534.31,"645,230",n/a,n/a,n/a,n/a,n/a,n/a
2010,Provenge,Sipuleucel-T/Lactated Ringers,Dendreon Corpor,Prostate Cancer,Part B,$0.00,0,0,$0.00,$0.00,$0.00,$0.00,0,n/a,n/a,n/a,n/a,n/a,n/a
2011,Provenge,Sipuleucel-T/Lactated Ringers,Dendreon Corpor,,Part B,"$89,930,906.50","1,121","2,737","$12,486,971.73","$80,223.82","$32,857.47","$11,139.14","2,620",n/a,n/a,n/a,n/a,n/a,n/a
2012,Provenge,Sipuleucel-T/Lactated Ringers,Dendreon Corpor,,Part B,"$218,482,585.98","2,484","6,666","$33,078,417.68","$87,955.95","$32,775.67","$13,316.59","6,393",n/a,n/a,n/a,n/a,n/a,n/a
2013,Provenge,Sipuleucel-T/Lactated Ringers,Dendreon Corpor,,Part B,"$178,822,808.26","2,069","5,536","$28,445,335.85","$86,429.58","$32,301.81","$13,748.35","5,355",n/a,n/a,n/a,n/a,n/a,n/a
2014,Provenge,Sipuleucel-T/Lactated Ringers,Dendreon Corpor,,Part B,"$173,560,758.24","1,913","5,125","$27,801,374.19","$90,727.00","$33,865.51","$14,532.87","4,955",n/a,n/a,n/a,n/a,n/a,n/a
2010,Rapamune; Sirolimus,Sirolimus,Multiple Manufacturers,Immunotherapy,Part B,"$49,952,516.76","8,993","5,097,759","$10,191,197.99","$5,554.60",$9.80,"$1,133.24","64,485",n/a,n/a,n/a,n/a,n/a,n/a
2011,Rapamune; Sirolimus,Sirolimus,Multiple Manufacturers,,Part B,"$48,840,777.49","8,636","4,652,484","$10,002,237.33","$5,655.49",$10.50,"$1,158.20","65,106",n/a,n/a,n/a,n/a,n/a,n/a
2012,Rapamune; Sirolimus,Sirolimus,Multiple Manufacturers,,Part B,"$47,348,666.69","8,416","4,237,246","$9,679,429.34","$5,626.03",$11.17,"$1,150.12","63,972",n/a,n/a,n/a,n/a,n/a,n/a
2013,Rapamune; Sirolimus,Sirolimus,Multiple Manufacturers,,Part B,"$47,972,381.64","8,022","3,862,683","$9,908,635.98","$5,980.10",$12.42,"$1,235.18","62,209",n/a,n/a,n/a,n/a,n/a,n/a
2014,Rapamune; Sirolimus,Sirolimus,Multiple Manufacturers,,Part B,"$52,843,561.42","7,692","3,571,903","$10,932,574.95","$6,869.94",$14.79,"$1,421.29","60,678",n/a,n/a,n/a,n/a,n/a,n/a
2010,Remicade,Infliximab,Janssen Biotech,Inflammation,Part B,"$873,822,111.01","57,672","14,933,826","$175,240,821.78","$15,151.58",$58.51,"$3,038.58","330,166",n/a,n/a,n/a,n/a,n/a,n/a
2011,Remicade,Infliximab,Janssen Biotech,,Part B,"$930,763,940.85","58,402","15,289,235","$186,657,579.74","$15,937.19",$60.88,"$3,196.08","334,376",n/a,n/a,n/a,n/a,n/a,n/a
2012,Remicade,Infliximab,Janssen Biotech,,Part B,"$1,003,041,901.92","59,360","15,805,038","$200,686,891.08","$16,897.61",$63.46,"$3,380.84","341,475",n/a,n/a,n/a,n/a,n/a,n/a
2013,Remicade,Infliximab,Janssen Biotech,,Part B,"$1,097,733,065.54","60,091","16,358,087","$221,743,309.52","$18,267.84",$67.11,"$3,690.13","347,676",n/a,n/a,n/a,n/a,n/a,n/a
2014,Remicade,Infliximab,Janssen Biotech,,Part B,"$1,172,607,401.57","59,748","16,586,908","$237,141,973.63","$19,625.89",$70.69,"$3,969.04","347,717",n/a,n/a,n/a,n/a,n/a,n/a
2010,Remodulin,Treprostinil Sodium,United Therap,Pulmonary,Part B,"$146,363,899.33","1,040","2,368,416","$29,277,954.20","$140,734.52",$61.80,"$28,151.88","9,119",n/a,n/a,n/a,n/a,n/a,n/a
2011,Remodulin,Treprostinil Sodium,United Therap,,Part B,"$154,792,442.91","1,064","2,507,210","$30,970,625.24","$145,481.62",$61.74,"$29,107.73","9,277",n/a,n/a,n/a,n/a,n/a,n/a
2012,Remodulin,Treprostinil Sodium,United Therap,,Part B,"$158,932,408.59","1,126","2,575,014","$31,794,069.68","$141,147.79",$61.72,"$28,236.30","9,625",n/a,n/a,n/a,n/a,n/a,n/a
2013,Remodulin,Treprostinil Sodium,United Therap,,Part B,"$164,341,548.23","1,160","2,691,833","$33,245,042.36","$141,673.75",$61.05,"$28,659.52","9,781",n/a,n/a,n/a,n/a,n/a,n/a
2014,Remodulin,Treprostinil Sodium,United Therap,,Part B,"$165,298,156.47","1,235","2,720,585","$33,582,264.00","$133,844.66",$60.76,"$27,192.12","10,395",n/a,n/a,n/a,n/a,n/a,n/a
2010,Revlimid,Lenalidomide,Celgene,Immunotherapy,Part D,"$596,556,443.93","14,670","1,703,090","$53,532,051.79","$40,665.06",$350.28,*,"80,350","4,204","10,466","$908,060.97","$52,623,990.82",$216.00,"$5,028.09"
2011,Revlimid,Lenalidomide,Celgene,,Part D,"$809,102,527.63","17,844","2,205,662","$49,069,914.21","$45,343.11",$366.83,*,"104,141","5,008","12,836","$772,615.54","$48,297,298.67",$154.28,"$3,762.64"
2012,Revlimid,Lenalidomide,Celgene,,Part D,"$1,017,195,339.30","20,391","2,612,956","$59,667,104.70","$49,884.52",$389.29,*,"124,546","5,572","14,819","$826,135.25","$58,840,969.45",$148.27,"$3,970.64"
2013,Revlimid,Lenalidomide,Celgene,,Part D,"$1,349,964,592.27","24,637","3,227,606","$70,445,320.95","$54,794.20",$418.26,*,"153,782","6,019","18,618","$869,863.72","$69,575,457.23",$144.52,"$3,737.00"
2014,Revlimid,Lenalidomide,Celgene,,Part D,"$1,671,622,656.69","27,143","3,707,616","$82,121,407.28","$61,585.77",$450.86,*,"178,377","6,319","20,824","$984,710.56","$81,136,696.72",$155.83,"$3,896.31"
2010,Rituxan,Rituximab,"Genentech, Inc.",Immunology,Part B,"$1,220,640,170.29","63,685","2,124,795","$240,643,052.09","$19,166.84",$574.47,"$3,778.65","268,649",n/a,n/a,n/a,n/a,n/a,n/a
2011,Rituxan,Rituximab,"Genentech, Inc.",,Part B,"$1,337,280,050.39","66,269","2,198,512","$262,260,191.14","$20,179.57",$608.27,"$3,957.51","275,741",n/a,n/a,n/a,n/a,n/a,n/a
2012,Rituxan,Rituximab,"Genentech, Inc.",,Part B,"$1,422,574,939.11","68,394","2,314,226","$276,615,611.21","$20,799.70",$614.71,"$4,044.44","277,588",n/a,n/a,n/a,n/a,n/a,n/a
2013,Rituxan,Rituximab,"Genentech, Inc.",,Part B,"$1,505,622,722.24","69,958","2,264,630","$292,242,339.62","$21,521.81",$664.84,"$4,177.40","279,006",n/a,n/a,n/a,n/a,n/a,n/a
2014,Rituxan,Rituximab,"Genentech, Inc.",,Part B,"$1,501,312,601.36","68,708","2,181,624","$290,093,486.20","$21,850.62",$688.16,"$4,222.12","267,815",n/a,n/a,n/a,n/a,n/a,n/a
2010,Sandostatin LAR,Octreotide Acetate,Novartis,Diabetes,Part B,"$199,402,524.71","8,717","1,825,158","$39,692,509.34","$22,875.13",$109.25,"$4,553.46","62,233",n/a,n/a,n/a,n/a,n/a,n/a
2011,Sandostatin LAR,Octreotide Acetate,Novartis,,Part B,"$234,803,146.02","9,336","2,017,851","$46,824,924.09","$25,150.29",$116.36,"$5,015.52","70,070",n/a,n/a,n/a,n/a,n/a,n/a
2012,Sandostatin LAR,Octreotide Acetate,Novartis,,Part B,"$275,984,353.31","9,790","2,240,840","$54,778,931.51","$28,190.43",$123.16,"$5,595.40","77,085",n/a,n/a,n/a,n/a,n/a,n/a
2013,Sandostatin LAR,Octreotide Acetate,Novartis,,Part B,"$303,563,688.69","10,144","2,316,230","$60,866,329.06","$29,925.44",$131.06,"$6,000.23","79,626",n/a,n/a,n/a,n/a,n/a,n/a
2014,Sandostatin LAR,Octreotide Acetate,Novartis,,Part B,"$341,508,778.97","10,594","2,627,964","$68,599,720.12","$32,236.06",$129.95,"$6,475.34","84,936",n/a,n/a,n/a,n/a,n/a,n/a
2010,Sovaldi,Sofosbuvir,Gilead Sciences,Hepatitis C,Part D,$0.00,0,0,$0.00,$0.00,$0.00,*,0,0,0,$0.00,$0.00,$0.00,$0.00
2011,Sovaldi,Sofosbuvir,Gilead Sciences,,Part D,$0.00,0,0,$0.00,$0.00,$0.00,*,0,0,0,$0.00,$0.00,$0.00,$0.00
2012,Sovaldi,Sofosbuvir,Gilead Sciences,,Part D,$0.00,0,0,$0.00,$0.00,$0.00,*,0,0,0,$0.00,$0.00,$0.00,$0.00
2013,Sovaldi,Sofosbuvir,Gilead Sciences,,Part D,"$14,211,999.52",482,"14,040","$233,476.65","$29,485.48","$1,012.25",*,483,350,132,"$3,112.21","$230,364.44",$8.89,"$1,745.19"
2014,Sovaldi,Sofosbuvir,Gilead Sciences,,Part D,"$3,106,960,980.51","33,033","3,055,478","$56,680,955.28","$94,056.28","$1,016.85",*,"109,556","22,110","10,923","$1,480,354.99","$55,200,600.29",$66.95,"$5,053.61"
2010,Spiriva,Tiotropium Bromide,Boehringer Ing.,Chronic Obstructive Pulmonary Disease,Part D,"$994,004,783.71","911,594","155,054,278","$148,418,384.87","$1,090.40",$6.41,*,"4,441,166","470,287","441,307","$11,380,327.89","$137,038,056.98",$24.20,$310.53
2011,Spiriva,Tiotropium Bromide,Boehringer Ing.,,Part D,"$1,288,428,958.85","981,371","172,360,331","$145,129,506.38","$1,312.89",$7.48,*,"4,815,382","503,224","478,147","$12,126,353.38","$133,003,153.00",$24.10,$278.16
2012,Spiriva,Tiotropium Bromide,Boehringer Ing.,,Part D,"$1,603,177,830.83","1,065,545","193,071,927","$172,623,251.95","$1,504.56",$8.30,*,"5,275,914","541,391","524,154","$12,756,343.65","$159,866,908.30",$23.56,$305.00
2013,Spiriva,Tiotropium Bromide,Boehringer Ing.,,Part D,"$1,958,581,192.60","1,181,599","218,663,282","$199,284,651.09","$1,657.57",$8.96,*,"5,735,127","565,309","616,290","$13,438,447.93","$185,846,203.16",$23.77,$301.56
2014,Spiriva,Tiotropium Bromide,Boehringer Ing.,,Part D,"$2,158,439,227.38","1,212,078","228,994,462","$212,320,667.29","$1,780.78",$9.43,*,"5,852,896","583,594","628,484","$13,234,911.62","$199,085,755.67",$22.68,$316.77
2010,Tarceva,Erlotinib HCl,"Genentech, Inc.",Chemotherapy,Part D,"$229,616,726.12","13,791","1,886,182","$31,529,601.98","$16,649.75",$121.74,*,"57,347","5,130","8,661","$584,607.64","$30,944,994.34",$113.96,"$3,572.91"
2011,Tarceva,Erlotinib HCl,"Genentech, Inc.",,Part D,"$266,465,457.47","13,754","2,003,161","$21,687,517.72","$19,373.67",$133.02,*,"60,189","5,006","8,748","$411,230.86","$21,276,286.86",$82.15,"$2,432.13"
2012,Tarceva,Erlotinib HCl,"Genentech, Inc.",,Part D,"$324,749,456.36","13,428","2,194,305","$23,491,627.72","$24,184.50",$148.00,*,"64,085","4,827","8,601","$385,817.84","$23,105,809.88",$79.93,"$2,686.41"
2013,Tarceva,Erlotinib HCl,"Genentech, Inc.",,Part D,"$396,670,262.01","14,237","2,474,190","$25,232,827.00","$27,861.93",$160.32,*,"71,058","4,591","9,646","$418,580.31","$24,814,246.69",$91.17,"$2,572.49"
2014,Tarceva,Erlotinib HCl,"Genentech, Inc.",,Part D,"$422,596,683.23","13,317","2,478,963","$25,980,536.43","$31,733.62",$170.47,*,"69,976","3,984","9,333","$387,304.13","$25,593,232.30",$97.21,"$2,742.23"
2010,Targretin,Bexarotene,Valeant,Lymphoma,Part D,"$9,971,599.97",533,"311,776","$971,711.66","$18,708.44",$31.98,*,"2,733",184,349,"$20,048.14","$951,663.52",$108.96,"$2,726.83"
2011,Targretin,Bexarotene,Valeant,,Part D,"$12,196,786.68",569,"350,376","$733,040.27","$21,435.48",$34.81,*,"2,996",184,385,"$10,830.44","$722,209.83",$58.86,"$1,875.87"
2012,Targretin,Bexarotene,Valeant,,Part D,"$16,901,580.67",643,"414,624","$953,516.48","$26,285.51",$40.76,*,"3,541",198,445,"$4,780.77","$948,735.71",$24.15,"$2,131.99"
2013,Targretin,Bexarotene,Valeant,,Part D,"$29,897,513.31",743,"456,766","$1,337,519.02","$40,238.91",$65.45,*,"4,053",204,539,"$17,539.41","$1,319,979.61",$85.98,"$2,448.94"
2014,Targretin,Bexarotene,Valeant,,Part D,"$73,523,400.47",829,"504,793","$2,601,777.12","$88,689.26",$145.65,*,"4,548",208,621,"$15,034.15","$2,586,742.97",$72.28,"$4,165.45"
2010,Tecfidera,Dimethyl Fumarate,Biogen-Idec,Multiple Sclerosis,Part D,$0.00,0,0,$0.00,$0.00,$0.00,*,0,0,0,$0.00,$0.00,$0.00,$0.00
2011,Tecfidera,Dimethyl Fumarate,Biogen-Idec,,Part D,$0.00,0,0,$0.00,$0.00,$0.00,*,0,0,0,$0.00,$0.00,$0.00,$0.00
2012,Tecfidera,Dimethyl Fumarate,Biogen-Idec,,Part D,$0.00,0,0,$0.00,$0.00,$0.00,*,0,0,0,$0.00,$0.00,$0.00,$0.00
2013,Tecfidera,Dimethyl Fumarate,Biogen-Idec,,Part D,"$159,212,765.98","8,158","2,083,642","$3,266,236.84","$19,516.15",$76.41,*,"29,704","5,409","2,749","$89,686.67","$3,176,550.17",$16.58,"$1,155.53"
2014,Tecfidera,Dimethyl Fumarate,Biogen-Idec,,Part D,"$599,047,000.15","16,068","7,082,069","$18,935,158.08","$37,281.99",$84.59,*,"100,683","9,385","6,683","$650,327.24","$18,284,830.84",$69.29,"$2,736.02"
2010,Thyrogen,Thyrotropin Alfa,Genzyme,Thyriod,Part B,"$10,159,773.57","5,092","10,327","$2,054,172.54","$1,995.24",$983.81,$403.41,"8,108",n/a,n/a,n/a,n/a,n/a,n/a
2011,Thyrogen,Thyrotropin Alfa,Genzyme,,Part B,"$7,839,143.10","3,880","7,829","$1,591,102.20","$2,020.40","$1,001.30",$410.08,"6,011",n/a,n/a,n/a,n/a,n/a,n/a
2012,Thyrogen,Thyrotropin Alfa,Genzyme,,Part B,"$10,313,547.05","5,152","10,127","$2,077,836.99","$2,001.85","$1,018.42",$403.31,"7,958",n/a,n/a,n/a,n/a,n/a,n/a
2013,Thyrogen,Thyrotropin Alfa,Genzyme,,Part B,"$11,297,678.14","5,360","10,667","$2,305,814.63","$2,107.78","$1,059.12",$430.19,"8,469",n/a,n/a,n/a,n/a,n/a,n/a
2014,Thyrogen,Thyrotropin Alfa,Genzyme,,Part B,"$13,680,897.08","5,324","10,757","$2,793,557.45","$2,569.67","$1,271.81",$524.71,"8,476",n/a,n/a,n/a,n/a,n/a,n/a
2010,Tracleer,Bosentan,Actelion Pharma,Cardiovascular,Part D,"$356,761,702.28","7,173","3,642,964","$22,085,618.55","$49,736.75",$97.93,*,"60,744","3,289","3,884","$516,453.26","$21,569,165.29",$157.02,"$5,553.34"
2011,Tracleer,Bosentan,Actelion Pharma,,Part D,"$372,630,590.46","7,214","3,743,374","$16,790,788.45","$51,653.81",$99.54,*,"62,503","3,221","3,993","$378,781.27","$16,412,007.18",$117.60,"$4,110.19"
2012,Tracleer,Bosentan,Actelion Pharma,,Part D,"$391,310,067.87","6,988","3,739,216","$17,357,464.36","$55,997.43",$104.65,*,"62,521","2,994","3,994","$370,336.90","$16,987,127.46",$123.69,"$4,253.16"
2013,Tracleer,Bosentan,Actelion Pharma,,Part D,"$445,282,905.04","7,100","3,877,674","$17,894,302.97","$62,715.90",$114.83,*,"64,824","2,837","4,263","$343,789.12","$17,550,513.85",$121.18,"$4,116.94"
2014,Tracleer,Bosentan,Actelion Pharma,,Part D,"$404,254,914.09","5,765","3,170,382","$15,420,303.27","$70,122.27",$127.51,*,"53,091","2,278","3,487","$341,148.29","$15,079,154.98",$149.76,"$4,324.39"
2010,Treanda,Bendamustine HCl,"Cephalon,Inc.-T",Chemotherapy,Part B,"$177,266,613.28","8,896","9,593,874","$33,944,637.76","$19,926.55",$18.48,"$3,815.72","49,140",n/a,n/a,n/a,n/a,n/a,n/a
2011,Treanda,Bendamustine HCl,"Cephalon,Inc.-T",,Part B,"$222,365,403.42","11,340","12,032,971","$42,601,242.10","$19,608.94",$18.48,"$3,756.72","62,956",n/a,n/a,n/a,n/a,n/a,n/a
2012,Treanda,Bendamustine HCl,"Cephalon,Inc.-T",,Part B,"$268,524,278.54","13,339","14,021,296","$50,883,898.32","$20,130.77",$19.15,"$3,814.67","72,785",n/a,n/a,n/a,n/a,n/a,n/a
2013,Treanda,Bendamustine HCl,"Cephalon,Inc.-T",,Part B,"$316,933,177.88","14,706","15,455,429","$60,035,375.33","$21,551.28",$20.51,"$4,082.37","81,297",n/a,n/a,n/a,n/a,n/a,n/a
